ID,Address,Class,ClassName,CodeNum,CodeName,EmergencyRoom,Remark,Explanation,NearSubway,Name,Phone1,Phone2,EndTime(Mon),EndTime(Tue),EndTime(Wed),EndTime(Thu),EndTime(Fri),EndTime(Sat),EndTime(Sun),EndTime(Holiday),StartTime(Mon),StartTime(Tue),StartTime(Wed),StartTime(Thu),StartTime(Fri),StartTime(Sat),StartTime(Sun),StartTime(Holiday),Zipcode1,Zipcode2,Lat,Long,OperationTime,Safety
A1100007,서울특별시 서대문구 연세로 50-1 (신촌동),A,종합병원,G006,지역응급의료센터,1,외상수련기관에서 190301 미수련기관으로 변동,양한방 협진 재활병원 입니다.,2호선 신촌역 1번출구 셔틀버스 이용 또는 3번 출구 10분 거리/중앙선 신촌역 2번 출구,학교법인연세대학교의과대학세브란스병원,02-2228-0114,02-2227-7777,1730,1730,1730,1730,1730,1230,1300,1300,830,830,830,830,830,830,900,900,37,22,126.9408277,37.56211711,55:18.0,87
A1100163,서울특별시 영등포구 영등포로 83 한강수병원 (양평동1가),B,병원,G009,응급실운영신고기관,1,2013.11 개업,주간/ 야간/ 휴일에 성형외과 전문의가 항시 상주합니다.  응급실 주간/야간/휴일 진료분야는 화상(30~40% 이하 및 넓은 범위는 별도협의) 외상 안면부 골절 타박상 및 염좌(교통사고/ 산재사고 등) 입니다.,양남사거리 인근,한강수병원,02-1800-7119,02-2063-8413,1800,1800,1800,1800,1800,1300,1300,1300,900,900,900,900,900,900,900,900,72,62,126.8909128,37.52240514,55:18.0,n/a
A1100053,서울특별시 강동구 진황도로61길 53 (둔촌동),A,종합병원,G006,지역응급의료센터,1,소아/봉합/턱관절,건강검진기관,9호선 중앙보훈병원역 2번 출구,한국보훈복지의료공단중앙보훈병원,02-2225-1111,02-2225-1100,1730,1730,1730,1730,1730,1600,1100,1300,900,900,900,900,900,1000,730,900,53,68,127.1467189,37.5282209,55:18.0,81
A1100027,서울특별시 노원구 노원로 75 한국원자력의학원 (공릉동),A,종합병원,G007,지역응급의료기관,1,외래는 과마다 진료시간이 다름,일반인진료불가,공릉역 2번 출구 도보 10분,한국원자력의학원원자력병원,02-970-2114,02-970-2620,1730,1730,1730,1730,1730,1300,1100,1300,900,900,900,900,900,900,730,900,18,12,127.0826932,37.62881598,55:18.0,n/a
A1100055,서울특별시 영등포구 신길로 1 (대림동 강남성심병원),A,종합병원,G006,지역응급의료센터,1,진료시간확인-14.12.17,점심 12:30~13:30,대림삼거리 인근,한림대학교 강남성심병원,02-829-5114,02-829-5119,1630,1630,1630,1630,1630,1200,1500,1500,830,830,830,830,830,830,1000,1000,74,41,126.9086725,37.49324929,55:18.0,83
A1100038,서울특별시 영등포구 버드나루로7길 12 (영등포동7가 한강성심병원),A,종합병원,G009,응급실운영신고기관,1,전문응급의료센터 지정: 2006.01.01. 지역응급의료센터 지정: 2016.05.17. 지역센터 전문센터 지정취소: 2019.11.1.,점심 12:30~13:30,서울특별시 영등포구 버드나루로7길 12 (영등포동 7가 94-200),한림대학교한강성심병원,02-2639-5114,02-2639-5555,1630,1630,1630,1630,1630,1200,1500,1500,900,900,900,900,900,830,1000,1000,72,47,126.91033,37.52346675,55:18.0,n/a
A1100013,서울특별시 성동구 왕십리로 222-1 (사근동),A,종합병원,G001,권역응급의료센터,1,02-2290-8283(응급실 직통전화),관절염/류마티스 전문/,한양대역 1번 출구,한양대학교병원,02-2290-8114,02-2290-8114,1800,1800,1800,1800,1800,1230,1300,1300,900,900,900,900,900,900,930,900,47,63,127.0448828,37.55994453,55:18.0,86
A1100051,서울특별시 광진구 자양로 85 (자양동),A,종합병원,G007,지역응급의료기관,1,2014.07 개업,24시간 전문의 진료가 가능한 서울 동북부 지역 거점병원입니다.,2호선 구의역 4번출구 직진방향 5분 거리,혜민병원,02-2049-9036,02-2049-9119,1730,1700,1700,1700,1700,1230,1300,1300,830,830,830,830,830,830,900,900,50,56,127.0836013,37.53531566,55:19.0,n/a
A1100019,서울특별시 양천구 목동로 225 홍익병원본관 (신정동),A,종합병원,G007,지역응급의료기관,1,2013.12 개업,후두내시경O/수액처치O,목동역 2번 출구,홍익병원,02-2693-5555,02-2600-0777,1800,1700,1700,1700,1700,1300,1700,1700,900,900,900,900,900,900,1000,1000,79,37,126.863664,37.52844147,55:19.0,n/a
A1100049,서울특별시 금천구 시흥대로 244 (시흥동),A,종합병원,G007,지역응급의료기관,1,대표번호1 지역번호 추가20170125131431,24째 토요일휴진,금천구청역 1번 출구,희명병원,02-804-0002,02-809-0122,1730,1730,1730,1730,1730,1230,1500,1400,830,830,830,830,830,830,1000,1000,86,26,126.9005625,37.45567063,55:19.0,n/a
